country_name,region,risk_name,risk_short,year,age_name,sex,measure,nm_mean,nm_upper,nm_lower,pc_mean,pc_upper,pc_lower,rt_mean,rt_upper,rt_lower
Belize,Caribbean,Unimproved water and sanitation,Water & sanitation,1990,Under 5 years,Males,death,2.72559,5.85337,0.129824,0.0206942,0.0436667,0.0010137,16.3857,35.1892,0.780474
Belize,Caribbean,Unimproved water source,Unimproved water,1990,Under 5 years,Males,death,0.977759,2.26179,0.0693901,0.00742617,0.0173695,0.000478599,5.87807,13.5974,0.417158
Belize,Caribbean,Unimproved sanitation,Sanitation,1990,Under 5 years,Males,death,1.91794,4.27108,0.045595,0.0145616,0.0327056,0.000362367,11.5303,25.6768,0.274107
Belize,Caribbean,Ambient particulate matter pollution,Ambient PM pollution,1990,Under 5 years,Males,death,0.0819011,0.311098,0.00550223,0.000620441,0.00229412,4.28082e-05,0.492372,1.87026,0.0330782
Belize,Caribbean,Household air pollution from solid fuels,Household air pollution,1990,Under 5 years,Males,death,7.11082,11.4097,3.52573,0.0539474,0.0842614,0.0272351,42.7487,68.5928,21.1959
Belize,Caribbean,Lead exposure,Lead,1990,Under 5 years,Males,death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,Caribbean,Child and maternal undernutrition,Undernutrition,1990,Under 5 years,Males,death,27.5372,38.1681,17.751,0.208706,0.280894,0.139553,165.548,229.458,106.715
Belize,Caribbean,Suboptimal breastfeeding,Suboptimal breastfeeding,1990,Under 5 years,Males,death,16.3853,24.8368,8.76545,0.124195,0.188377,0.0681059,98.5049,149.313,52.696
Belize,Caribbean,Childhood underweight,Childhood underweight,1990,Under 5 years,Males,death,5.9772,8.16343,4.02363,0.0452966,0.0605091,0.0315274,35.9336,49.0768,24.1892
Belize,Caribbean,Iron deficiency,Iron deficiency,1990,Under 5 years,Males,death,5.60509,8.66868,3.26578,0.0424797,0.0639571,0.0252053,33.6966,52.1142,19.6332
Belize,Caribbean,Vitamin A deficiency,Vitamin A deficiency,1990,Under 5 years,Males,death,0.733842,1.54073,0.253375,0.00555886,0.0113505,0.00194565,4.4117,9.26255,1.52324
Belize,Caribbean,Zinc deficiency,Zinc deficiency,1990,Under 5 years,Males,death,1.87529,3.90363,0.290549,0.0142138,0.0295238,0.00230855,11.2738,23.4678,1.74672
Belize,Caribbean,Tobacco smoking,Smoking,1990,Under 5 years,Males,death,3.53832,5.21994,2.20576,0.0268277,0.0388511,0.0169348,21.2716,31.3811,13.2605
Belize,Caribbean,Second-hand smoke,Second-hand smoke,1990,Under 5 years,Males,death,3.53832,5.21994,2.20576,0.0268277,0.0388511,0.0169348,21.2716,31.3811,13.2605
Belize,Caribbean,Alcohol and drug use,Alcohol & drug use,1990,Under 5 years,Males,death,0.701678,1.55191,0.102463,0.0053058,0.0117675,0.000803009,4.21833,9.32976,0.615985
Belize,Caribbean,Alcohol use,Alcohol use,1990,Under 5 years,Males,death,0.0685457,0.111813,0.0379612,0.00052142,0.000867785,0.000286835,0.412082,0.672197,0.228214
Belize,Caribbean,Drug use,Drug use,1990,Under 5 years,Males,death,0.633132,1.47678,0.0374187,0.00478438,0.0112242,0.000301475,3.80625,8.87806,0.224953
Belize,Caribbean,Unimproved water and sanitation,Water & sanitation,1990,0-6 days,Males,death,0.137381,0.358584,0.00638167,0.00369546,0.00955915,0.000176503,199.103,519.686,9.2488
Belize,Caribbean,Unimproved water source,Unimproved water,1990,0-6 days,Males,death,0.0494469,0.12919,0.00344611,0.00133052,0.00345288,9.75943e-05,71.6621,187.232,4.99437
Belize,Caribbean,Unimproved sanitation,Sanitation,1990,0-6 days,Males,death,0.0965519,0.255323,0.00280882,0.00259709,0.00696414,7.93047e-05,139.93,370.034,4.07075
Belize,Caribbean,Ambient particulate matter pollution,Ambient PM pollution,1990,0-6 days,Males,death,0.00583125,0.0237734,0.000328799,0.000157306,0.000629101,9.05582e-06,8.45109,34.4542,0.476521
Belize,Caribbean,Household air pollution from solid fuels,Household air pollution,1990,0-6 days,Males,death,0.504135,1.08212,0.186387,0.0135504,0.0289947,0.00489943,730.63,1568.28,270.127
Belize,Caribbean,Iron deficiency,Iron deficiency,1990,0-6 days,Males,death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,Caribbean,Tobacco smoking,Smoking,1990,0-6 days,Males,death,0.250605,0.510096,0.105978,0.00673312,0.0138321,0.00280382,363.195,739.27,153.591
Belize,Caribbean,Second-hand smoke,Second-hand smoke,1990,0-6 days,Males,death,0.250605,0.510096,0.105978,0.00673312,0.0138321,0.00280382,363.195,739.27,153.591
Belize,Caribbean,Alcohol and drug use,Alcohol & drug use,1990,0-6 days,Males,death,0.0540611,0.146848,0.0086658,0.00146639,0.00393976,0.000234661,78.3495,212.823,12.5591
Belize,Caribbean,Alcohol use,Alcohol use,1990,0-6 days,Males,death,0.00688295,0.0199205,0.00150464,0.000185656,0.000525316,4.12518e-05,9.97529,28.8703,2.18063
Belize,Caribbean,Drug use,Drug use,1990,0-6 days,Males,death,0.0471782,0.14223,0.00284358,0.00128074,0.00376961,7.57769e-05,68.3742,206.13,4.12113
Belize,Caribbean,Unimproved water and sanitation,Water & sanitation,1990,7-27 days,Males,death,0.168322,0.419622,0.00694005,0.0136783,0.0338741,0.000538316,82.5109,205.697,3.40199
Belize,Caribbean,Unimproved water source,Unimproved water,1990,7-27 days,Males,death,0.0603529,0.161264,0.00355783,0.00490487,0.0131097,0.000280812,29.5848,79.0512,1.74403
Belize,Caribbean,Unimproved sanitation,Sanitation,1990,7-27 days,Males,death,0.11842,0.296297,0.00266041,0.00962664,0.0246107,0.000226798,58.049,145.244,1.30412
Belize,Caribbean,Ambient particulate matter pollution,Ambient PM pollution,1990,7-27 days,Males,death,0.00592647,0.0225998,0.000351153,0.00048076,0.00181798,2.91681e-05,2.90513,11.0783,0.172134
Belize,Caribbean,Household air pollution from solid fuels,Household air pollution,1990,7-27 days,Males,death,0.518005,0.94774,0.220091,0.0419692,0.0752352,0.0184135,253.924,464.578,107.888
Belize,Caribbean,Child and maternal undernutrition,Undernutrition,1990,7-27 days,Males,death,1.75796,2.86147,0.888208,0.142341,0.227462,0.0741105,861.745,1402.68,435.396
Belize,Caribbean,Suboptimal breastfeeding,Suboptimal breastfeeding,1990,7-27 days,Males,death,1.75796,2.86147,0.888208,0.142341,0.227462,0.0741105,861.745,1402.68,435.396
Belize,Caribbean,Iron deficiency,Iron deficiency,1990,7-27 days,Males,death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,Caribbean,Tobacco smoking,Smoking,1990,7-27 days,Males,death,0.25801,0.448201,0.125358,0.020918,0.0365823,0.0103185,126.476,219.706,61.45
Belize,Caribbean,Second-hand smoke,Second-hand smoke,1990,7-27 days,Males,death,0.25801,0.448201,0.125358,0.020918,0.0365823,0.0103185,126.476,219.706,61.45
