country_name,region,risk_name,risk_short,year,age_name,sex,measure,nm_mean,nm_upper,nm_lower,pc_mean,pc_upper,pc_lower,rt_mean,rt_upper,rt_lower
Guatemala,Central Latin America,Unimproved water and sanitation,Water & sanitation,1990,Under 5 years,Males,death,773.352,1618.78,29.3847,0.0517423,0.109,0.00186016,96.1818,201.328,3.65457
Guatemala,Central Latin America,Unimproved water source,Unimproved water,1990,Under 5 years,Males,death,251.249,589.968,14.9101,0.0168046,0.0388646,0.000914019,31.2478,73.3743,1.85437
Guatemala,Central Latin America,Unimproved sanitation,Sanitation,1990,Under 5 years,Males,death,564.772,1278.33,13.1906,0.0377942,0.0868965,0.000872124,70.2406,158.985,1.64051
Guatemala,Central Latin America,Ambient particulate matter pollution,Ambient PM pollution,1990,Under 5 years,Males,death,229.931,426.486,103.153,0.0153416,0.0267894,0.00746657,28.5965,53.042,12.8291
Guatemala,Central Latin America,Household air pollution from solid fuels,Household air pollution,1990,Under 5 years,Males,death,2154.06,3187.15,1360.27,0.14365,0.200232,0.0948976,267.901,396.385,169.176
Guatemala,Central Latin America,Lead exposure,Lead,1990,Under 5 years,Males,death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,Central Latin America,Child and maternal undernutrition,Undernutrition,1990,Under 5 years,Males,death,6698.2,8857.21,5049.29,0.447148,0.54781,0.356489,833.054,1101.57,627.98
Guatemala,Central Latin America,Suboptimal breastfeeding,Suboptimal breastfeeding,1990,Under 5 years,Males,death,2913.37,4588.33,1564.48,0.194535,0.298792,0.109629,362.336,570.651,194.575
Guatemala,Central Latin America,Childhood underweight,Childhood underweight,1990,Under 5 years,Males,death,4100.01,5380.56,3142.19,0.273812,0.330499,0.220141,509.918,669.18,390.794
Guatemala,Central Latin America,Iron deficiency,Iron deficiency,1990,Under 5 years,Males,death,91.1259,133.636,60.7173,0.00610359,0.00869936,0.00393662,11.3333,16.6202,7.5514
Guatemala,Central Latin America,Vitamin A deficiency,Vitamin A deficiency,1990,Under 5 years,Males,death,807.32,1402.66,355.269,0.0538342,0.090922,0.0237429,100.406,174.449,44.1848
Guatemala,Central Latin America,Zinc deficiency,Zinc deficiency,1990,Under 5 years,Males,death,1168.77,2261.8,205.823,0.0776926,0.141553,0.0135645,145.36,281.3,25.5982
Guatemala,Central Latin America,Tobacco smoking,Smoking,1990,Under 5 years,Males,death,778.679,1141.85,501.655,0.0519761,0.0728303,0.0349775,96.8443,142.012,62.3908
Guatemala,Central Latin America,Second-hand smoke,Second-hand smoke,1990,Under 5 years,Males,death,778.679,1141.85,501.655,0.0519761,0.0728303,0.0349775,96.8443,142.012,62.3908
Guatemala,Central Latin America,Alcohol and drug use,Alcohol & drug use,1990,Under 5 years,Males,death,13.6327,25.5927,6.49554,0.000923787,0.00176185,0.000391196,1.69549,3.18297,0.80785
Guatemala,Central Latin America,Alcohol use,Alcohol use,1990,Under 5 years,Males,death,7.93779,12.1406,4.97672,0.00053465,0.000844693,0.000314472,0.987222,1.50993,0.618954
Guatemala,Central Latin America,Drug use,Drug use,1990,Under 5 years,Males,death,5.69487,16.083,0.678228,0.000389136,0.00111516,4.20172e-05,0.708271,2.00024,0.0843511
Guatemala,Central Latin America,Unimproved water and sanitation,Water & sanitation,1990,0-6 days,Males,death,5.21657,11.7883,0.156141,0.00260672,0.00614653,6.99471e-05,152.71,345.092,4.57088
Guatemala,Central Latin America,Unimproved water source,Unimproved water,1990,0-6 days,Males,death,1.70387,4.27166,0.0772547,0.000850706,0.00218289,3.63751e-05,49.8791,125.049,2.26156
