30-34,35-39,65-69,25-29,Country,40-44,50-54,15-19,70-74,55-59,Year,Country_Name,60-64,Male,Cause,20-24,45-49,75 +
1.0,0.0,1.0,0.0,2045,0.0,0.0,0.0,0.0,2.0,1980,Belize,1.0,1,B26,0.0,0.0,3.0
1.0,0.0,4.0,0.0,2045,0.0,0.0,0.0,1.0,0.0,1980,Belize,2.0,0,B26,0.0,0.0,5.0
0.0,0.0,2.0,0.0,2045,1.0,2.0,0.0,4.0,2.0,1980,Belize,0.0,1,B27,0.0,1.0,6.0
0.0,0.0,1.0,0.0,2045,0.0,0.0,0.0,2.0,0.0,1980,Belize,0.0,0,B27,0.0,2.0,5.0
0.0,0.0,12.0,3.0,2045,0.0,0.0,1.0,0.0,11.0,1980,Belize,0.0,1,B28,0.0,4.0,20.0
0.0,1.0,1.0,1.0,2045,0.0,0.0,3.0,0.0,7.0,1980,Belize,0.0,0,B28,0.0,5.0,21.0
0.0,1.0,3.0,1.0,2045,0.0,0.0,1.0,0.0,2.0,1980,Belize,0.0,1,B29,0.0,3.0,8.0
0.0,0.0,6.0,2.0,2045,0.0,0.0,0.0,0.0,2.0,1980,Belize,0.0,0,B29,0.0,1.0,10.0
0.0,0.0,1.0,1.0,2045,0.0,1.0,0.0,2.0,1.0,1980,Belize,0.0,1,B30,0.0,0.0,3.0
0.0,0.0,0.0,1.0,2045,1.0,0.0,0.0,1.0,0.0,1980,Belize,0.0,0,B30,0.0,1.0,4.0
,,,,2045,,,,,,1981,Belize,,1,B26,,,
,,,,2045,,,,,,1981,Belize,,0,B26,,,
,,,,2045,,,,,,1981,Belize,,1,B27,,,
,,,,2045,,,,,,1981,Belize,,0,B27,,,
,,,,2045,,,,,,1981,Belize,,1,B28,,,
,,,,2045,,,,,,1981,Belize,,0,B28,,,
,,,,2045,,,,,,1981,Belize,,1,B29,,,
,,,,2045,,,,,,1981,Belize,,0,B29,,,
,,,,2045,,,,,,1981,Belize,,1,B30,,,
,,,,2045,,,,,,1981,Belize,,0,B30,,,
0.0,0.0,2.0,0.0,2045,0.0,1.0,0.0,3.0,1.0,1982,Belize,2.0,1,B26,0.0,0.0,4.0
0.0,0.0,4.0,0.0,2045,0.0,1.0,0.0,3.0,0.0,1982,Belize,1.0,0,B26,0.0,0.0,2.0
0.0,0.0,0.0,0.0,2045,0.0,1.0,0.0,2.0,2.0,1982,Belize,1.0,1,B27,0.0,0.0,4.0
0.0,0.0,2.0,0.0,2045,0.0,0.0,0.0,2.0,0.0,1982,Belize,0.0,0,B27,0.0,1.0,6.0
0.0,0.0,8.0,1.0,2045,0.0,2.0,0.0,7.0,1.0,1982,Belize,1.0,1,B28,1.0,2.0,9.0
2.0,4.0,4.0,0.0,2045,0.0,4.0,0.0,13.0,2.0,1982,Belize,6.0,0,B28,1.0,5.0,14.0
0.0,0.0,4.0,0.0,2045,1.0,0.0,1.0,7.0,2.0,1982,Belize,2.0,1,B29,1.0,0.0,8.0
0.0,0.0,2.0,0.0,2045,0.0,1.0,0.0,7.0,1.0,1982,Belize,2.0,0,B29,0.0,0.0,8.0
0.0,0.0,0.0,0.0,2045,0.0,0.0,1.0,1.0,0.0,1982,Belize,2.0,1,B30,0.0,0.0,5.0
0.0,0.0,0.0,0.0,2045,0.0,0.0,0.0,0.0,0.0,1982,Belize,0.0,0,B30,0.0,0.0,3.0
1.0,0.0,1.0,0.0,2045,0.0,0.0,0.0,3.0,2.0,1983,Belize,0.0,1,B26,0.0,0.0,4.0
1.0,0.0,1.0,0.0,2045,0.0,0.0,0.0,1.0,1.0,1983,Belize,2.0,0,B26,0.0,1.0,7.0
1.0,0.0,5.0,0.0,2045,0.0,1.0,0.0,2.0,2.0,1983,Belize,0.0,1,B27,0.0,2.0,5.0
0.0,0.0,1.0,0.0,2045,0.0,0.0,0.0,1.0,1.0,1983,Belize,2.0,0,B27,0.0,0.0,10.0
0.0,0.0,3.0,0.0,2045,0.0,0.0,0.0,2.0,2.0,1983,Belize,2.0,1,B28,0.0,0.0,6.0
